Index,Age,Overall,Weak Foot,Position,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
4442,26,71,2.0,ST,42.0,72.0,73.0,59.0,67.0,68.0,54.0,42.0,49.0,70.0,77.0,78.0,80.0,66.0,75.0,69.0,84.0,73.0,68.0,65.0,45.0,33.0,68.0,42.0,65.0,69.0,32.0,30.0,24.0,13.0,7.0,5.0,9.0,14.0
4448,34,71,3.0,ST,57.0,71.0,66.0,64.0,75.0,74.0,67.0,68.0,58.0,75.0,66.0,62.0,67.0,73.0,57.0,73.0,64.0,65.0,79.0,70.0,60.0,37.0,65.0,66.0,70.0,71.0,18.0,33.0,36.0,8.0,8.0,10.0,12.0,12.0
4453,24,71,2.0,ST,41.0,71.0,74.0,68.0,51.0,72.0,54.0,30.0,62.0,70.0,68.0,77.0,46.0,71.0,46.0,58.0,38.0,72.0,82.0,55.0,60.0,41.0,72.0,68.0,60.0,68.0,33.0,48.0,36.0,9.0,12.0,14.0,9.0,8.0
4457,23,71,3.0,ST,42.0,75.0,74.0,72.0,60.0,76.0,70.0,74.0,66.0,80.0,33.0,66.0,66.0,60.0,34.0,72.0,54.0,58.0,90.0,50.0,58.0,11.0,65.0,72.0,80.0,69.0,36.0,24.0,14.0,11.0,15.0,9.0,14.0,10.0
4462,32,71,3.0,ST,63.0,73.0,71.0,69.0,66.0,69.0,74.0,72.0,65.0,69.0,65.0,69.0,77.0,70.0,73.0,69.0,81.0,63.0,66.0,71.0,43.0,18.0,74.0,76.0,76.0,71.0,25.0,26.0,26.0,12.0,6.0,7.0,10.0,8.0
4487,28,71,3.0,ST,42.0,68.0,77.0,65.0,67.0,59.0,60.0,57.0,51.0,69.0,65.0,61.0,65.0,71.0,47.0,72.0,82.0,54.0,82.0,67.0,36.0,43.0,72.0,53.0,64.0,61.0,20.0,19.0,20.0,11.0,10.0,15.0,15.0,6.0
4502,26,71,3.0,LS,34.0,72.0,70.0,66.0,60.0,65.0,61.0,49.0,36.0,67.0,75.0,78.0,69.0,69.0,75.0,70.0,82.0,80.0,82.0,63.0,78.0,29.0,72.0,60.0,67.0,69.0,39.0,34.0,23.0,12.0,9.0,7.0,14.0,8.0
4516,24,71,3.0,ST,45.0,74.0,72.0,64.0,62.0,66.0,65.0,68.0,40.0,72.0,66.0,62.0,69.0,60.0,42.0,72.0,44.0,67.0,80.0,58.0,30.0,18.0,76.0,50.0,67.0,68.0,19.0,18.0,16.0,9.0,15.0,11.0,10.0,9.0
4517,28,71,3.0,ST,56.0,75.0,70.0,55.0,67.0,71.0,50.0,59.0,54.0,71.0,66.0,59.0,68.0,69.0,64.0,70.0,78.0,55.0,78.0,60.0,67.0,56.0,77.0,60.0,49.0,67.0,45.0,40.0,39.0,13.0,16.0,8.0,8.0,13.0
4518,25,71,3.0,ST,65.0,67.0,65.0,65.0,67.0,76.0,72.0,65.0,52.0,74.0,78.0,83.0,78.0,65.0,67.0,79.0,76.0,73.0,70.0,69.0,58.0,21.0,62.0,55.0,56.0,65.0,20.0,22.0,17.0,12.0,11.0,15.0,12.0,16.0
4519,20,71,3.0,ST,66.0,73.0,67.0,61.0,69.0,71.0,62.0,45.0,42.0,71.0,83.0,84.0,73.0,62.0,74.0,75.0,84.0,68.0,74.0,72.0,59.0,26.0,63.0,59.0,68.0,72.0,16.0,25.0,24.0,14.0,15.0,9.0,12.0,15.0
4523,30,71,3.0,ST,28.0,72.0,75.0,60.0,61.0,59.0,61.0,59.0,48.0,68.0,78.0,79.0,67.0,63.0,44.0,66.0,85.0,78.0,92.0,52.0,45.0,17.0,70.0,53.0,65.0,71.0,28.0,14.0,12.0,13.0,11.0,8.0,5.0,7.0
4549,25,71,3.0,ST,48.0,70.0,71.0,65.0,76.0,71.0,66.0,22.0,39.0,77.0,48.0,54.0,65.0,64.0,39.0,72.0,69.0,64.0,78.0,66.0,53.0,19.0,76.0,48.0,63.0,68.0,45.0,20.0,25.0,13.0,8.0,13.0,13.0,6.0
4552,34,71,3.0,ST,73.0,72.0,74.0,71.0,66.0,70.0,64.0,56.0,63.0,71.0,56.0,53.0,65.0,74.0,67.0,74.0,73.0,52.0,72.0,69.0,80.0,57.0,72.0,69.0,72.0,73.0,37.0,58.0,49.0,8.0,14.0,7.0,10.0,6.0
4556,24,71,3.0,ST,58.0,72.0,67.0,67.0,58.0,70.0,67.0,59.0,60.0,74.0,73.0,72.0,70.0,67.0,62.0,68.0,62.0,73.0,66.0,62.0,56.0,54.0,73.0,62.0,69.0,69.0,28.0,23.0,18.0,9.0,7.0,11.0,6.0,16.0
4566,29,71,3.0,ST,63.0,69.0,56.0,68.0,67.0,72.0,65.0,60.0,56.0,73.0,69.0,72.0,67.0,70.0,62.0,76.0,34.0,66.0,81.0,69.0,60.0,33.0,74.0,71.0,70.0,74.0,52.0,42.0,37.0,6.0,15.0,16.0,7.0,6.0
4568,26,71,2.0,ST,28.0,73.0,79.0,60.0,65.0,59.0,38.0,42.0,31.0,58.0,66.0,76.0,57.0,69.0,55.0,69.0,62.0,77.0,78.0,53.0,71.0,22.0,76.0,59.0,60.0,61.0,19.0,17.0,20.0,10.0,9.0,14.0,15.0,6.0
4576,28,71,3.0,ST,45.0,71.0,68.0,56.0,64.0,65.0,56.0,35.0,43.0,68.0,78.0,76.0,78.0,67.0,70.0,72.0,83.0,72.0,86.0,63.0,68.0,33.0,68.0,53.0,66.0,62.0,27.0,20.0,16.0,12.0,7.0,10.0,13.0,14.0
4577,25,71,3.0,ST,49.0,71.0,68.0,69.0,66.0,68.0,54.0,44.0,38.0,67.0,73.0,71.0,74.0,65.0,66.0,70.0,80.0,69.0,76.0,66.0,55.0,12.0,74.0,50.0,63.0,68.0,13.0,14.0,15.0,8.0,6.0,11.0,14.0,8.0
4586,23,71,4.0,LS,62.0,62.0,44.0,69.0,60.0,76.0,73.0,71.0,68.0,75.0,78.0,76.0,82.0,66.0,76.0,62.0,61.0,67.0,60.0,63.0,39.0,38.0,66.0,73.0,71.0,68.0,50.0,32.0,24.0,5.0,5.0,5.0,5.0,5.0
4587,32,71,4.0,RS,42.0,74.0,72.0,62.0,68.0,62.0,50.0,31.0,33.0,68.0,64.0,66.0,67.0,67.0,67.0,73.0,82.0,88.0,83.0,62.0,76.0,22.0,74.0,54.0,63.0,66.0,41.0,35.0,31.0,15.0,16.0,11.0,10.0,11.0
4592,31,71,4.0,LF,80.0,69.0,58.0,74.0,57.0,69.0,77.0,76.0,77.0,71.0,63.0,64.0,77.0,72.0,77.0,80.0,64.0,66.0,68.0,70.0,68.0,67.0,67.0,69.0,59.0,58.0,61.0,55.0,49.0,14.0,6.0,9.0,15.0,8.0
4595,21,71,5.0,ST,46.0,72.0,72.0,62.0,59.0,72.0,65.0,40.0,43.0,73.0,69.0,69.0,73.0,65.0,66.0,66.0,71.0,73.0,75.0,64.0,49.0,36.0,71.0,65.0,68.0,72.0,37.0,21.0,19.0,13.0,12.0,5.0,8.0,15.0
4616,30,71,3.0,ST,47.0,74.0,66.0,62.0,73.0,70.0,50.0,69.0,49.0,70.0,72.0,71.0,70.0,72.0,72.0,68.0,69.0,65.0,59.0,67.0,49.0,29.0,73.0,53.0,71.0,73.0,34.0,27.0,32.0,14.0,11.0,7.0,7.0,14.0
4637,31,71,2.0,ST,36.0,70.0,74.0,69.0,72.0,68.0,62.0,69.0,50.0,74.0,52.0,55.0,69.0,66.0,69.0,69.0,67.0,70.0,85.0,65.0,56.0,33.0,77.0,56.0,70.0,66.0,32.0,18.0,20.0,6.0,9.0,6.0,13.0,9.0
4649,26,71,3.0,ST,58.0,73.0,55.0,70.0,64.0,75.0,65.0,49.0,55.0,70.0,64.0,71.0,47.0,67.0,48.0,75.0,39.0,69.0,85.0,62.0,45.0,20.0,73.0,69.0,61.0,75.0,25.0,23.0,20.0,8.0,16.0,11.0,13.0,6.0
4663,25,71,4.0,RS,39.0,71.0,67.0,66.0,55.0,66.0,53.0,34.0,56.0,68.0,68.0,71.0,76.0,70.0,65.0,73.0,75.0,75.0,83.0,68.0,61.0,15.0,74.0,57.0,65.0,70.0,30.0,12.0,11.0,5.0,11.0,8.0,13.0,12.0
4675,32,71,3.0,LS,61.0,76.0,68.0,65.0,73.0,58.0,65.0,55.0,53.0,67.0,62.0,59.0,67.0,75.0,73.0,70.0,55.0,67.0,72.0,64.0,75.0,33.0,80.0,65.0,74.0,73.0,49.0,34.0,28.0,7.0,8.0,11.0,11.0,8.0
4686,30,71,4.0,ST,53.0,70.0,78.0,60.0,67.0,63.0,51.0,62.0,53.0,66.0,63.0,64.0,62.0,71.0,51.0,72.0,70.0,73.0,80.0,65.0,79.0,44.0,74.0,51.0,65.0,70.0,47.0,31.0,23.0,11.0,8.0,15.0,11.0,7.0
4689,24,71,3.0,ST,58.0,71.0,67.0,68.0,65.0,69.0,45.0,27.0,61.0,72.0,65.0,68.0,68.0,66.0,60.0,75.0,73.0,69.0,75.0,59.0,49.0,14.0,71.0,47.0,56.0,70.0,24.0,10.0,15.0,12.0,13.0,12.0,14.0,10.0
4695,33,71,3.0,ST,44.0,72.0,77.0,72.0,70.0,66.0,66.0,51.0,45.0,62.0,46.0,45.0,55.0,72.0,38.0,71.0,45.0,51.0,86.0,67.0,58.0,20.0,76.0,56.0,67.0,54.0,36.0,24.0,27.0,7.0,8.0,9.0,7.0,7.0
4708,31,71,4.0,ST,45.0,72.0,77.0,61.0,73.0,63.0,52.0,54.0,44.0,73.0,43.0,53.0,61.0,74.0,56.0,76.0,76.0,59.0,77.0,66.0,74.0,34.0,74.0,51.0,85.0,65.0,27.0,37.0,15.0,12.0,12.0,11.0,9.0,11.0
4727,27,71,3.0,ST,63.0,63.0,48.0,70.0,57.0,71.0,71.0,68.0,66.0,70.0,73.0,69.0,80.0,72.0,74.0,63.0,71.0,75.0,66.0,65.0,72.0,33.0,69.0,72.0,57.0,69.0,59.0,44.0,39.0,13.0,9.0,11.0,12.0,13.0
4731,29,71,3.0,ST,38.0,72.0,73.0,58.0,56.0,66.0,49.0,41.0,31.0,71.0,79.0,74.0,68.0,68.0,58.0,69.0,77.0,80.0,77.0,57.0,79.0,36.0,73.0,62.0,68.0,64.0,18.0,25.0,30.0,7.0,14.0,15.0,7.0,7.0
4737,23,71,2.0,ST,44.0,72.0,75.0,59.0,68.0,66.0,44.0,29.0,44.0,64.0,72.0,75.0,70.0,73.0,66.0,68.0,84.0,61.0,74.0,52.0,69.0,22.0,72.0,47.0,70.0,52.0,15.0,18.0,19.0,10.0,11.0,8.0,7.0,15.0
4746,24,71,3.0,ST,48.0,73.0,67.0,58.0,56.0,73.0,36.0,33.0,40.0,71.0,93.0,92.0,88.0,64.0,85.0,63.0,70.0,76.0,65.0,53.0,52.0,28.0,74.0,62.0,66.0,67.0,50.0,28.0,22.0,15.0,10.0,13.0,12.0,12.0
4750,26,70,4.0,ST,59.0,68.0,68.0,63.0,63.0,67.0,63.0,56.0,61.0,72.0,68.0,76.0,62.0,69.0,61.0,65.0,66.0,82.0,80.0,63.0,54.0,22.0,71.0,62.0,62.0,62.0,37.0,38.0,36.0,13.0,12.0,7.0,6.0,14.0
4754,26,70,3.0,ST,58.0,67.0,70.0,71.0,68.0,67.0,56.0,55.0,49.0,68.0,65.0,51.0,62.0,66.0,44.0,77.0,74.0,71.0,82.0,65.0,73.0,30.0,71.0,66.0,67.0,71.0,54.0,48.0,46.0,14.0,12.0,14.0,10.0,10.0
4763,20,70,3.0,ST,54.0,71.0,64.0,70.0,65.0,73.0,54.0,42.0,58.0,75.0,67.0,70.0,69.0,63.0,67.0,73.0,67.0,65.0,72.0,57.0,34.0,22.0,67.0,63.0,71.0,64.0,20.0,15.0,22.0,9.0,15.0,14.0,9.0,10.0
4785,26,70,4.0,ST,70.0,70.0,60.0,67.0,50.0,73.0,51.0,42.0,58.0,72.0,84.0,82.0,75.0,60.0,62.0,78.0,70.0,65.0,65.0,68.0,61.0,27.0,62.0,58.0,61.0,67.0,25.0,21.0,21.0,9.0,8.0,8.0,15.0,7.0
4788,24,70,4.0,ST,57.0,69.0,62.0,61.0,64.0,67.0,70.0,59.0,50.0,67.0,85.0,83.0,84.0,77.0,82.0,65.0,83.0,81.0,70.0,60.0,71.0,52.0,73.0,63.0,72.0,72.0,25.0,32.0,31.0,9.0,15.0,11.0,6.0,13.0
4796,26,70,4.0,ST,57.0,72.0,64.0,59.0,65.0,67.0,63.0,56.0,55.0,67.0,86.0,87.0,82.0,67.0,75.0,68.0,73.0,69.0,58.0,66.0,70.0,48.0,72.0,67.0,59.0,72.0,25.0,34.0,25.0,11.0,11.0,6.0,7.0,6.0
4803,32,70,4.0,ST,56.0,70.0,71.0,66.0,63.0,65.0,60.0,46.0,32.0,67.0,65.0,58.0,68.0,73.0,70.0,71.0,77.0,67.0,80.0,52.0,90.0,42.0,70.0,69.0,67.0,69.0,28.0,15.0,12.0,15.0,16.0,15.0,7.0,11.0
4806,23,70,3.0,ST,62.0,67.0,62.0,64.0,67.0,68.0,72.0,48.0,46.0,71.0,86.0,78.0,76.0,71.0,77.0,70.0,76.0,72.0,75.0,63.0,43.0,21.0,70.0,61.0,69.0,65.0,29.0,29.0,20.0,15.0,11.0,14.0,7.0,9.0
4825,28,70,3.0,LS,60.0,68.0,51.0,69.0,61.0,70.0,57.0,30.0,59.0,72.0,81.0,83.0,78.0,72.0,70.0,71.0,79.0,71.0,64.0,65.0,28.0,20.0,74.0,58.0,56.0,60.0,28.0,18.0,18.0,10.0,8.0,15.0,8.0,6.0
4828,30,70,4.0,ST,60.0,71.0,75.0,65.0,66.0,66.0,61.0,63.0,62.0,71.0,54.0,50.0,66.0,66.0,57.0,69.0,68.0,62.0,73.0,74.0,43.0,29.0,73.0,65.0,58.0,72.0,47.0,32.0,30.0,6.0,12.0,14.0,16.0,10.0
4832,29,70,3.0,ST,57.0,70.0,68.0,63.0,63.0,61.0,57.0,46.0,44.0,70.0,73.0,76.0,67.0,63.0,54.0,68.0,64.0,66.0,78.0,64.0,44.0,28.0,72.0,59.0,66.0,67.0,38.0,28.0,25.0,9.0,14.0,10.0,13.0,15.0
4835,24,70,4.0,ST,64.0,71.0,54.0,67.0,73.0,70.0,64.0,36.0,49.0,71.0,67.0,67.0,65.0,69.0,62.0,76.0,67.0,59.0,74.0,64.0,66.0,43.0,71.0,63.0,56.0,71.0,43.0,36.0,33.0,13.0,15.0,15.0,16.0,13.0
4836,27,70,3.0,ST,29.0,71.0,66.0,62.0,62.0,66.0,44.0,41.0,51.0,74.0,54.0,62.0,66.0,67.0,60.0,70.0,71.0,74.0,75.0,67.0,69.0,29.0,75.0,53.0,68.0,71.0,23.0,27.0,23.0,11.0,9.0,14.0,12.0,6.0
4839,22,70,3.0,ST,35.0,69.0,72.0,59.0,65.0,64.0,64.0,33.0,42.0,68.0,65.0,67.0,55.0,65.0,58.0,71.0,69.0,59.0,85.0,61.0,64.0,22.0,70.0,54.0,55.0,59.0,18.0,21.0,17.0,11.0,13.0,14.0,14.0,15.0
4847,32,70,2.0,ST,49.0,71.0,72.0,56.0,58.0,67.0,51.0,44.0,52.0,60.0,66.0,74.0,57.0,64.0,51.0,68.0,62.0,72.0,81.0,62.0,48.0,15.0,77.0,58.0,72.0,73.0,34.0,16.0,13.0,6.0,10.0,16.0,14.0,14.0
4848,24,70,3.0,ST,51.0,71.0,68.0,65.0,58.0,70.0,55.0,38.0,49.0,69.0,72.0,77.0,70.0,60.0,69.0,72.0,81.0,60.0,77.0,64.0,46.0,22.0,65.0,59.0,66.0,72.0,17.0,25.0,14.0,8.0,6.0,12.0,11.0,8.0
4858,35,70,4.0,LS,47.0,69.0,78.0,64.0,65.0,57.0,68.0,53.0,51.0,66.0,50.0,53.0,56.0,70.0,58.0,71.0,88.0,53.0,75.0,71.0,46.0,25.0,78.0,49.0,75.0,68.0,23.0,25.0,27.0,8.0,13.0,16.0,14.0,14.0
4864,27,70,4.0,ST,49.0,76.0,64.0,58.0,69.0,71.0,68.0,53.0,41.0,67.0,61.0,66.0,59.0,67.0,59.0,70.0,63.0,53.0,75.0,58.0,38.0,29.0,75.0,59.0,70.0,61.0,39.0,18.0,15.0,11.0,9.0,16.0,14.0,15.0
4867,31,70,3.0,ST,66.0,69.0,67.0,65.0,47.0,70.0,59.0,35.0,61.0,73.0,76.0,70.0,73.0,61.0,66.0,70.0,78.0,71.0,78.0,64.0,58.0,46.0,68.0,67.0,66.0,62.0,28.0,24.0,22.0,14.0,7.0,10.0,10.0,12.0
4882,25,70,2.0,ST,50.0,67.0,69.0,67.0,68.0,67.0,63.0,42.0,58.0,69.0,69.0,71.0,67.0,70.0,66.0,70.0,74.0,53.0,74.0,65.0,74.0,36.0,67.0,68.0,62.0,51.0,33.0,24.0,14.0,16.0,13.0,15.0,14.0,10.0
4894,27,70,4.0,ST,59.0,73.0,58.0,57.0,72.0,68.0,73.0,65.0,43.0,71.0,71.0,71.0,76.0,68.0,63.0,70.0,66.0,72.0,66.0,66.0,58.0,28.0,75.0,65.0,55.0,71.0,59.0,28.0,28.0,16.0,13.0,13.0,9.0,9.0
4898,22,70,3.0,ST,56.0,72.0,65.0,65.0,55.0,70.0,66.0,42.0,44.0,66.0,76.0,83.0,70.0,65.0,66.0,73.0,62.0,72.0,82.0,67.0,47.0,25.0,64.0,64.0,66.0,73.0,12.0,13.0,20.0,7.0,7.0,10.0,15.0,6.0
4915,28,70,3.0,ST,57.0,72.0,68.0,55.0,66.0,61.0,64.0,59.0,32.0,62.0,73.0,67.0,72.0,70.0,69.0,74.0,79.0,68.0,84.0,67.0,85.0,36.0,74.0,56.0,72.0,67.0,27.0,38.0,36.0,6.0,16.0,10.0,7.0,10.0
4938,26,70,3.0,ST,63.0,64.0,64.0,66.0,65.0,67.0,65.0,59.0,46.0,68.0,75.0,76.0,73.0,69.0,69.0,76.0,74.0,81.0,74.0,64.0,78.0,50.0,70.0,62.0,58.0,64.0,43.0,41.0,42.0,7.0,6.0,14.0,7.0,12.0
4942,27,70,3.0,ST,60.0,75.0,66.0,64.0,61.0,69.0,49.0,60.0,62.0,66.0,70.0,66.0,75.0,67.0,55.0,72.0,54.0,73.0,75.0,64.0,47.0,26.0,67.0,69.0,71.0,57.0,21.0,19.0,16.0,7.0,16.0,9.0,8.0,15.0
4944,27,70,2.0,ST,44.0,71.0,68.0,63.0,64.0,70.0,67.0,56.0,50.0,75.0,64.0,62.0,67.0,67.0,59.0,74.0,74.0,65.0,72.0,70.0,36.0,19.0,67.0,62.0,73.0,67.0,18.0,24.0,21.0,11.0,10.0,12.0,11.0,13.0
4951,23,70,4.0,ST,44.0,71.0,66.0,65.0,67.0,64.0,42.0,35.0,49.0,66.0,69.0,75.0,69.0,67.0,62.0,74.0,72.0,74.0,76.0,64.0,52.0,13.0,68.0,58.0,65.0,73.0,42.0,16.0,14.0,14.0,11.0,11.0,12.0,10.0
4970,27,70,3.0,ST,68.0,67.0,50.0,61.0,58.0,76.0,75.0,71.0,53.0,73.0,82.0,83.0,75.0,68.0,66.0,77.0,56.0,57.0,73.0,74.0,47.0,28.0,67.0,50.0,44.0,63.0,21.0,34.0,23.0,13.0,10.0,11.0,6.0,10.0
4972,34,70,3.0,RS,56.0,73.0,70.0,56.0,66.0,65.0,62.0,52.0,38.0,69.0,72.0,64.0,75.0,63.0,69.0,70.0,75.0,67.0,71.0,68.0,70.0,20.0,75.0,58.0,77.0,69.0,31.0,32.0,23.0,9.0,11.0,13.0,13.0,15.0
4974,26,70,3.0,ST,63.0,70.0,77.0,66.0,68.0,63.0,46.0,39.0,49.0,66.0,55.0,55.0,45.0,69.0,34.0,73.0,34.0,61.0,83.0,63.0,62.0,22.0,69.0,61.0,68.0,67.0,18.0,24.0,23.0,10.0,11.0,9.0,13.0,12.0
4984,29,70,3.0,LS,43.0,71.0,67.0,58.0,65.0,64.0,56.0,61.0,46.0,67.0,69.0,74.0,69.0,69.0,58.0,68.0,64.0,75.0,79.0,60.0,70.0,21.0,73.0,61.0,71.0,64.0,24.0,23.0,29.0,7.0,13.0,15.0,8.0,15.0
4986,19,70,3.0,ST,45.0,75.0,66.0,55.0,62.0,64.0,44.0,42.0,42.0,67.0,75.0,77.0,69.0,63.0,68.0,74.0,83.0,67.0,73.0,65.0,49.0,17.0,65.0,52.0,59.0,67.0,22.0,21.0,18.0,15.0,10.0,16.0,14.0,14.0
5000,25,70,3.0,LS,39.0,76.0,79.0,62.0,58.0,52.0,28.0,32.0,51.0,62.0,64.0,62.0,64.0,65.0,67.0,78.0,78.0,69.0,79.0,66.0,53.0,28.0,70.0,56.0,65.0,60.0,30.0,32.0,23.0,14.0,6.0,13.0,13.0,7.0
5031,26,70,3.0,ST,31.0,73.0,66.0,59.0,70.0,64.0,39.0,50.0,40.0,63.0,77.0,75.0,71.0,68.0,73.0,68.0,72.0,81.0,77.0,67.0,50.0,22.0,73.0,54.0,72.0,69.0,26.0,37.0,20.0,12.0,9.0,13.0,15.0,10.0
5032,28,70,3.0,RS,66.0,67.0,48.0,65.0,65.0,70.0,66.0,42.0,46.0,69.0,82.0,87.0,92.0,64.0,71.0,65.0,61.0,90.0,62.0,62.0,56.0,38.0,67.0,66.0,57.0,60.0,28.0,29.0,22.0,8.0,11.0,12.0,13.0,9.0
5039,36,70,3.0,ST,51.0,71.0,70.0,63.0,73.0,66.0,54.0,50.0,57.0,69.0,54.0,58.0,65.0,65.0,66.0,76.0,79.0,33.0,72.0,67.0,59.0,34.0,71.0,58.0,80.0,66.0,29.0,36.0,46.0,14.0,10.0,9.0,12.0,14.0
5041,29,70,4.0,ST,43.0,73.0,69.0,56.0,70.0,58.0,45.0,40.0,44.0,63.0,71.0,76.0,63.0,69.0,60.0,76.0,72.0,79.0,80.0,68.0,57.0,39.0,68.0,45.0,69.0,59.0,36.0,21.0,18.0,6.0,6.0,14.0,10.0,8.0
5042,26,70,3.0,ST,48.0,70.0,67.0,53.0,58.0,71.0,60.0,30.0,53.0,68.0,87.0,85.0,71.0,70.0,67.0,67.0,75.0,64.0,62.0,42.0,46.0,27.0,73.0,55.0,65.0,71.0,23.0,30.0,23.0,9.0,6.0,12.0,8.0,12.0
5046,23,70,4.0,LS,58.0,72.0,72.0,68.0,58.0,72.0,36.0,29.0,51.0,75.0,65.0,33.0,67.0,62.0,56.0,72.0,65.0,54.0,77.0,58.0,49.0,19.0,73.0,50.0,59.0,59.0,40.0,18.0,22.0,13.0,10.0,8.0,12.0,7.0
5051,22,70,3.0,ST,39.0,74.0,72.0,55.0,61.0,65.0,52.0,30.0,48.0,71.0,69.0,73.0,65.0,64.0,65.0,66.0,64.0,66.0,68.0,63.0,30.0,14.0,76.0,53.0,54.0,62.0,38.0,13.0,18.0,6.0,12.0,11.0,6.0,10.0
5062,30,70,4.0,RS,63.0,69.0,67.0,70.0,66.0,72.0,68.0,69.0,67.0,73.0,66.0,68.0,74.0,70.0,76.0,67.0,67.0,76.0,68.0,64.0,57.0,25.0,71.0,67.0,78.0,75.0,36.0,27.0,19.0,15.0,7.0,10.0,10.0,9.0
5067,35,70,3.0,LS,36.0,72.0,69.0,56.0,64.0,65.0,51.0,54.0,47.0,68.0,60.0,55.0,68.0,66.0,67.0,72.0,73.0,55.0,83.0,58.0,62.0,41.0,75.0,64.0,75.0,72.0,29.0,19.0,25.0,15.0,7.0,7.0,15.0,7.0
5070,28,70,3.0,ST,63.0,70.0,61.0,63.0,63.0,69.0,66.0,58.0,55.0,68.0,74.0,76.0,70.0,66.0,56.0,73.0,72.0,72.0,78.0,61.0,72.0,27.0,69.0,60.0,67.0,66.0,34.0,42.0,32.0,16.0,6.0,16.0,7.0,10.0
5072,24,70,2.0,ST,31.0,74.0,77.0,45.0,48.0,67.0,47.0,30.0,34.0,73.0,51.0,49.0,58.0,63.0,30.0,73.0,64.0,73.0,84.0,63.0,43.0,28.0,75.0,56.0,69.0,56.0,17.0,20.0,17.0,8.0,13.0,14.0,14.0,7.0
5081,26,70,3.0,LS,62.0,69.0,59.0,63.0,65.0,72.0,64.0,63.0,48.0,73.0,84.0,84.0,83.0,67.0,78.0,71.0,83.0,73.0,70.0,63.0,78.0,51.0,67.0,64.0,45.0,64.0,48.0,57.0,53.0,8.0,12.0,12.0,10.0,13.0
5083,24,70,3.0,LS,66.0,73.0,43.0,65.0,59.0,71.0,61.0,52.0,63.0,69.0,80.0,86.0,74.0,70.0,75.0,77.0,67.0,61.0,56.0,61.0,40.0,28.0,62.0,60.0,55.0,56.0,45.0,35.0,34.0,9.0,16.0,13.0,12.0,9.0
5084,23,70,4.0,ST,42.0,72.0,69.0,59.0,68.0,68.0,52.0,59.0,45.0,67.0,68.0,69.0,64.0,65.0,56.0,76.0,74.0,70.0,76.0,62.0,60.0,32.0,71.0,55.0,60.0,68.0,26.0,28.0,25.0,9.0,13.0,11.0,9.0,9.0
5087,34,70,3.0,ST,47.0,73.0,74.0,65.0,72.0,59.0,66.0,62.0,45.0,65.0,46.0,59.0,63.0,67.0,70.0,70.0,90.0,48.0,85.0,61.0,80.0,20.0,75.0,55.0,71.0,80.0,19.0,30.0,22.0,4.0,4.0,4.0,4.0,4.0
5090,27,70,4.0,ST,57.0,72.0,73.0,56.0,69.0,64.0,56.0,47.0,55.0,63.0,69.0,70.0,37.0,64.0,38.0,77.0,53.0,70.0,78.0,69.0,47.0,30.0,67.0,55.0,58.0,50.0,22.0,32.0,23.0,11.0,7.0,7.0,9.0,9.0
5097,34,70,3.0,RS,60.0,70.0,60.0,61.0,73.0,68.0,49.0,43.0,51.0,69.0,74.0,72.0,86.0,65.0,67.0,75.0,88.0,58.0,77.0,61.0,51.0,34.0,71.0,61.0,67.0,72.0,31.0,20.0,31.0,12.0,16.0,15.0,8.0,8.0
5099,32,70,4.0,ST,58.0,72.0,75.0,67.0,69.0,67.0,54.0,60.0,55.0,70.0,49.0,50.0,63.0,68.0,61.0,70.0,78.0,50.0,77.0,66.0,52.0,23.0,75.0,69.0,61.0,67.0,51.0,29.0,23.0,12.0,8.0,8.0,12.0,10.0
5115,23,70,3.0,ST,35.0,70.0,71.0,60.0,66.0,69.0,41.0,33.0,51.0,66.0,74.0,73.0,73.0,67.0,60.0,73.0,77.0,75.0,79.0,61.0,70.0,18.0,69.0,39.0,55.0,72.0,25.0,21.0,25.0,8.0,11.0,5.0,10.0,13.0
5133,26,70,3.0,ST,42.0,71.0,66.0,61.0,68.0,66.0,59.0,61.0,39.0,65.0,73.0,68.0,65.0,65.0,71.0,78.0,84.0,76.0,78.0,54.0,71.0,18.0,74.0,58.0,68.0,67.0,14.0,19.0,18.0,11.0,9.0,8.0,8.0,7.0
5140,22,70,3.0,ST,57.0,71.0,65.0,62.0,64.0,70.0,60.0,52.0,50.0,70.0,78.0,78.0,70.0,65.0,59.0,72.0,64.0,59.0,63.0,65.0,33.0,24.0,70.0,58.0,56.0,65.0,28.0,17.0,12.0,8.0,13.0,11.0,6.0,8.0
5146,28,70,3.0,ST,55.0,72.0,62.0,66.0,72.0,71.0,61.0,63.0,52.0,70.0,76.0,75.0,71.0,70.0,76.0,70.0,71.0,69.0,65.0,65.0,63.0,20.0,69.0,65.0,64.0,65.0,42.0,37.0,33.0,13.0,14.0,15.0,16.0,11.0
